Post_ID,Topic,Date,Likes,Comments,Shared
200217,Gaming,2022-02-17,2460,48,36
200788,Gaming,2022-10-16,9320,56,15
201749,Gaming,2021-02-09,23610,70,27
204683,Food,2021-05-08,20930,80,47
205080,Fashion,2021-09-19,19200,163,79
205405,Fashion,2021-10-03,29320,209,114
205678,Fashion,2022-08-01,24540,145,37
205925,Fashion,2022-03-12,9250,101,35
208260,Travel,2021-11-10,61550,334,401
208569,Food,2021-02-03,34850,540,196
208588,Travel,2021-09-14,30730,177,160
208789,Travel,2022-12-12,66020,397,208
209563,Fashion,2021-07-19,87950,445,308
209861,Food,2021-03-12,19570,184,95
209970,Food,2022-02-10,29900,116,81
210071,Travel,2021-08-13,47770,402,118
210378,Fashion,2022-07-10,10790,92,23
211494,Fashion,2022-03-09,3220,36,4
212607,Gaming,2022-05-20,10850,69,6
213101,Travel,2022-10-20,53800,782,446
213172,Food,2021-05-13,27730,222,77
214023,Food,2021-07-15,43260,664,183
215012,Travek,2021-09-16,10730,108,36
215055,Gaming,2022-10-06,42300,468,110
215207,Travel,2022-06-01,32470,448,68
215294,Gaming,2021-11-08,8600,95,35
215771,Food,2021-09-19,64430,571,366
216483,Gaming,2021-03-15,47450,198,197
216962,Travel,2022-01-20,31590,358,20
216964,Gaming,2021-10-20,18030,90,41
217089,Gaming,2021-01-12,19100,92,17
217504,Fashion,2021-06-04,25770,105,35
218088,Food,2022-05-05,99600,552,258
219324,Food,2021-07-03,68340,369,537
220109,Food,2021-04-04,68390,201,170
220193,Gaming,2022-09-03,11520,36,18
224847,Gaming,2021-08-20,20640,131,49
224851,Food,2021-02-18,94380,307,167
225304,Fashion,2022-10-08,76760,225,124
226838,Gaming,2021-06-02,24820,543,47
229191,Travel,2022-03-10,99350,572,338
230528,Fashion,2021-02-19,58520,175,89
230609,Food,2021-02-06,86610,405,274
230766,Food,2022-10-05,4530,60,29
234054,Food,2021-11-08,125080,195,289
234969,Gaming,2022-10-20,11220,58,16
235180,Travel,2021-02-17,45690,150,247
236781,Fashion,2022-07-19,127740,633,132
237565,Gaming,2021-07-10,13520,26,60
237661,Gaming,2022-07-07,52810,198,143
238015,Food,2022-10-12,21440,57,44
238106,Food,2021-06-18,108780,533,178
240685,Fashion,2021-12-06,35120,120,88
241124,Food,2021-07-13,40810,103,93
243260,Food,2022-06-06,24880,231,398
245587,Food,2022-10-14,3490,99,29
248563,Food,2022-01-04,41650,206,209
249025,Travel,2022-10-20,15710,107,24
249035,Travel,2022-02-05,93400,291,268
250168,Gaming,2021-08-18,5610,111,41
250844,Food,2021-10-17,29610,128,117
251297,Food,2022-10-09,4810,32,26
251710,Food,2022-07-17,11610,59,38
252798,Food,2021-11-10,16390,160,78
254764,Food,2022-05-09,6820,64,12
255232,Travel,2021-11-18,26680,557,196
255376,Gaming,2021-01-11,32090,434,153
256687,Food,2021-06-04,33220,175,76
256701,Food,2021-12-15,12920,126,38
257012,Travel,2021-11-06,42340,580,403
257736,Gaming,2021-12-14,139700,649,545
258216,Gaming,2021-09-11,15530,70,52
260048,Food,2022-10-09,52050,195,164
260601,Fashion,2021-11-09,19700,209,111
260920,Fashion,2022-06-12,14220,29,18
262481,Gaming,2021-12-10,10150,391,104
262927,Fashion,2021-03-11,50430,163,114
263485,Food,2021-12-09,24480,204,44
265145,Travel,2022-12-02,27280,439,199
266459,Travel,2022-06-02,26750,48,122
267593,Food,2021-04-12,22420,134,67
268231,Fashion,2021-02-19,20070,157,100
268284,Travel,2022-04-10,23300,282,108
269039,Food,2022-12-19,75260,452,311
269080,Fashion,2021-01-01,66290,508,281
269286,Gaming,2022-05-17,19810,41,93
269979,Fashion,2021-10-01,44010,203,77
270138,Food,2021-11-07,22440,159,40
270910,Gaming,2022-01-15,50320,253,96
270919,Gaming,2022-04-03,6830,55,36
272920,Gaming,2022-06-16,14680,130,50
273531,Travel,2022-04-11,18800,274,78
274076,Travel,2022-03-15,11320,257,72
274753,Fashion,2022-10-19,27330,133,97
277610,Gaming,2021-04-14,15880,67,39
277616,Fashion,2022-06-10,13160,91,44
277842,Food,2021-03-03,23580,81,24
278759,Food,2021-12-03,55620,528,32
279176,Food,2021-03-18,83350,376,306
279268,Food,2021-09-16,20670,46,65
279370,Fashion,2021-04-14,34400,96,81
279711,Gaming,2021-02-20,8960,83,43
281948,Fashion,2022-11-08,8440,57,43
282298,Food,2021-08-18,35490,111,104
283470,Fashion,2021-07-16,40820,674,272
283513,Gaming,2021-05-16,5890,88,48
283516,Food,2022-11-15,12840,50,17
283848,Food,2022-04-18,21120,86,32
284626,Fashion,2021-12-09,23740,143,114
286599,Gaming,2021-06-05,18280,162,102
287308,Gaming,2021-09-03,8690,100,30
